CODIGO,DESCRIPCI‡N,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA ABRIL 2025,CANTIDAD EXISTENCIA ALMACêN CDDI ABRIL 2025,CANTIDAD EXISTENCIA ALMACêN CDCH ABRIL 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    ABRIL 2025,MONTO DE EXISTENCIAS ABRIL EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA  MAYO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI MAYO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH MAYO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    MAYO 2025,MONTO DE EXISTENCIAS MAYO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JUNIO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI JUNIO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH JUNIO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    JUNIO 2025,MONTO DE EXISTENCIAS EN JUNIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH JULIO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    JULIO 2025,MONTO DE EXISTENCIAS EN JULIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH AGOSTO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    AGOSTO 2025,MONTO DE EXISTENCIAS EN AGOSTO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH SEPTIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    SEPTIEMBRE 2025,MONTO DE EXISTENCIAS EN SEPTIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH OCTUBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    OCTUBRE 2025,MONTO DE EXISTENCIAS EN OCTUBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH NOVIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    NOVIEMBRE 2025,MONTO DE EXISTENCIAS EN NOVIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH DICIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES DICIEMBRE 2025,MONTO DE EXISTENCIAS EN DICIEMBRE 2025 B/.
101013101,"F‡LICO µCIDO, 5MG, TABLETA, V.O.",0.02 ,"1,090,480",161000,78000,"1,329,480 ","30,578.04 ","505,380",0,"63,540","568,920","13,085.16","457,380",0,57000,"514,380","11,830.74",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101013701,"NITROFURANTOINA 100MG CµPSULA O TABLETA, V.O.",0.10 ,"143,000",81000,36000,"260,000 ","26,000.00 ","269,000","35,000",0,"304,000","30,400.00","231,000",102000,50000,"383,000","38,300.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101015901,"AZATIOPRINA, 50MG, TABLETA, V.O.",0.59 ,"73,000",4300,29900,"107,200 ","63,248.00 ","19,800","1,200","18,600","39,600","23,364.00","16,800",0,14600,"31,400","18,526.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101016301,"ATENOLOL, 100MG, TABLETA RANURADA, V.O.",0.05 ,"1,283,580",236610,288030,"1,808,220 ","90,411.00 ","1,085,580","211,290","266,550","1,563,420","78,171.00","1,049,580",195720,265050,"1,510,350","75,517.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101018301,"PIRIDOSTIGMINA BROMURO, 60MG, TABLETA, V.O.",0.36 ,"67,400",1860,11640,"80,900 ","29,124.00 ","42,160",460,"9,000","51,620","18,583.20","41,160",0,8400,"49,560","17,841.60",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101018401,"METILDOPA, 250MG, TABLETA, V.O.",0.28 ,0,6330,0,"6,330 ","1,772.40 ","17,040","19,290","10,590","46,920","13,137.60","16,740",15450,10590,"42,780","11,978.40",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101018501,"MELFALANO 2mg, tableta, V.O.",0.78 ,0,0,0,0 ,0.00 ,0,0,0,0,0.00,0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101022301,"METOTREXATE, 2.5MG, TABLETA, V.O.",0.15 ,"489,900",0,64400,"554,300 ","83,145.00 ","384,100","30,200","59,400","473,700","71,055.00","373,600",22700,35000,"431,300","64,695.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101023201,"HIDROXICLOROQUINA SULFATO, 400MG, TABLETA, V.O.",0.23 ,"126,900",0,0,"126,900 ","29,187.00 ","17,100",0,"2,400","19,500","4,485.00","170,160",13140,5700,"189,000","43,470.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101024201,"PREDNISONA O PREDNISOLONA, 5MG, TABLETA, V.O.",0.03 ,"15,000",0,0,"15,000 ",375.00 ,"6,000","494,900",0,"500,900","12,522.50","1,556,700",334300,113800,"2,004,800","50,120.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101024501,"TAMOXIFENO CITRATO, 20MG, TABLETA, V.O.",0.17 ,"25,260",630,5280,"31,170 ","5,298.90 ","21,840",210,"4,380","26,430","4,493.10","21,540",180,4380,"26,100","4,437.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101027201,"METILFENIDATO, 10MG, TABLETA, V.O.",0.11 ,"3,600",0,0,"3,600 ",396.00 ,"3,600",0,0,"3,600",396.00,"3,600",0,0,"3,600",396.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101027701,"CARBAMAZEPINA 200mg, tableta, V.O.",0.05 ,0,0,0,0 ,0.00 ,0,0,0,0,0.00,0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101028501,"LEVOMEPROMAZINA, 25MG, TABLETA, V.O.",0.51 ,"76,000",48000,46000,"170,000 ","86,700.00 ","34,000","33,000","43,000","110,000","56,100.00","32,000",30000,40000,"102,000","52,020.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101030201,"TIAMAZOL (METIMAZOL)  5MG.TABLETA, V.O.",0.25 ,"125,660",389160,116500,"631,320 ","157,830.00 ","4,500","342,620","78,100","425,220","106,305.00","1,500",319680,76300,"397,480","99,370.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101030701,"HIDROCLOROTIAZIDA 25MG CON TRIAMTERENO 50MG, TABLETA RANURADA, V.O.",0.13 ,"3,723,000",907000,411000,"5,041,000 ","655,330.00 ","3,343,000","746,000","369,000","4,458,000","579,540.00","3,305,000",693000,366000,"4,364,000","567,320.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101031601,IMIPRAMINA 10 MG CAPSULA O TABLETA V.O.,0.09 ,"159,000",35900,46300,"241,200 ","20,743.20 ","145,400","32,300","41,000","218,700","18,808.20","144,200",32000,41000,"217,200","18,679.20",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101032001,"FLUOXETINA 20mg, c†psula o tableta, V.O.",0.08 ,"749,616",110544,90440,"950,600 ","76,048.00 ","436,352","62,328","54,572","553,252","44,260.16","405,552",32088,48972,"486,612","38,928.96",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101032901,"AMITRIPTILINA, 25MG, CµPSULA O TABLETA, V.O.",0.03 ,"99,900",196300,72200,"368,400 ","11,052.00 ","21,600","95,700","24,100","141,400","4,242.00",800,66300,24100,"91,200","2,736.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034201,"TIAMINA (VITAMINA B1) 100MG, TABLETA, V.O.",0.01 ,"101,000",79000,27000,"207,000 ","2,794.50 ","73,000","59,000","15,000","147,000","1,984.50","72,000",57000,14000,"143,000","1,930.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034401,"PIRIDOXINA (VITAMINA B6), 50MG, TABLETA, V.O.",0.04 ,"93,000",0,0,"93,000 ","3,720.00 ","93,000",0,0,"93,000","3,720.00",0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034801,"ASC‡RBICO µCIDO (VITAMINA C), 500MG, TABLETA RECUBIERTO (PEL÷CULA), MASTICABLE O EFERVESCENTE, V.O.",0.05 ,"628,800",89300,0,"718,100 ","32,314.50 ","317,400",0,0,"317,400","14,283.00","238,400",0,0,"238,400","10,728.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034901,"LITIO CARBONATO 300mg, c†psula o tableta, V.O.",0.07 ,"141,000",0,0,"141,000 ","9,165.00 ","29,000",0,0,"29,000","1,885.00","13,000",0,0,"13,000",845.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101035701,"BIPERIDENO CLORHIDRATO, 2MG, TABLETA, V.O.",0.04 ,"423,400",70400,49400,"543,200 ","19,555.20 ","321,600","48,900","30,900","401,400","14,450.40","314,200",35900,26900,"377,000","13,572.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101036301,"HIERRO (SAL FERROSA), 50-100MG DE HIERRO ELEMENTAL, TABLETA,  V.O.",0.25 ,"247,500",210400,422000,"879,900 ","219,975.00 ","791,400","347,500","154,400","1,293,300","323,325.00","771,400",306800,152400,"1,230,600","307,650.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101037701,"ESPIRONOLACTONA, 25MG, TABLETA, V.O.",0.11 ,"321,450",178200,50100,"549,750 ","60,472.50 ","21,600","53,040","73,950","148,590","16,344.90","216,450",238500,175920,"630,870","69,395.70",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101037801,"ANOVULATORIO ORAL, ESTR‡GENOS: ETINILESTRADIOL,  0.020-0.030MG; PROGESTAGENOS: LEVONORGESTREL, 0.15MG. O GESTODENO, 0.075MG, TABLETA, V.O.",0.06 ,"12,306",14133,2814,"29,253 ","1,755.18 ",0,"1,974","6,624","8,598",515.88,0,0,3465,"3,465",207.90,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101037901,"TRAMADOL CLORHIDRATO, 50MG, CµPSULA, V.O.",0.03 ,"601,760",235740,259800,"1,097,300 ","29,627.10 ","254,360","167,880","147,660","569,900","15,387.30","182,960",134280,147660,"464,900","12,552.30",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101038201,"ACETIL SALIC÷LICO µCIDO, 75-100MG, TABLETA, V.O.",0.02 ,"8,242,900",900600,507000,"9,650,500 ","154,408.00 ","7,557,600","716,300","316,300","8,590,200","137,443.20","7,495,500",617500,312700,"8,425,700","134,811.20",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101038801,"TRIMETROPIN 160MG CON SULFAMETOXAZOL 800MG, TABLETA RANURADA, V.O.",0.07 ,"1,400",58950,0,"60,350 ","3,922.75 ","1,000","41,900",0,"42,900","2,788.50","1,000",28500,57000,"86,500","5,622.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101042601,"CICLOSPORINA 25mg, capsula con microemulsion, V.O.",0.97 ,"88,000",63600,55700,"207,300 ","201,081.00 ","44,000","51,600","55,100","150,700","146,179.00","44,000",47550,55100,"146,650","142,250.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101042701,"CICLOSPORINA 100mg, c†psula con microemulsi¢n, V.O.",3.88 ,"59,300",3100,300,"62,700 ","243,276.00 ","33,900","2,600","1,300","37,800","146,664.00","32,400",2550,1300,"36,250","140,650.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101043001,"MERCAPTOPURINA  50MG.TABLETA, V.O.",1.64 ,"2,550",100,3400,"6,050 ","9,922.00 ","1,050",50,"2,800","3,900","6,396.00",450,0,2600,"3,050","5,002.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101043501,"DIAZEPAM, 5MG, TABLETA, V.O.",0.15 ,"1,607,000",430000,215000,"2,252,000 ","337,800.00 ","833,912","356,000","152,000","1,341,912","201,286.80","1,387,000",337000,152000,"1,876,000","281,400.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101044101,"MEDROXIPROGESTERONA,  5mg, tableta, V.O.",0.50 ,"24,720",0,0,"24,720 ","12,360.00 ","15,660","1,000",400,"17,060","8,530.00","12,360",0,400,"12,760","6,380.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
