CODIGO,DESCRIPCI‡N,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA ENERO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI ENERO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH ENERO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    ENERO 2025,MONTO DE EXISTENCIAS ENERO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA FEBRERO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI FEBRERO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH FEBRERO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    FEBRERO 2025,MONTO DE EXISTENCIAS FEBRERO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA MARZO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI MARZO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH MARZO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    MARZO 2025,MONTO DE EXISTENCIAS MARZO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH JULIO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    JULIO 2025,MONTO DE EXISTENCIAS EN JULIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH AGOSTO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    AGOSTO 2025,MONTO DE EXISTENCIAS EN AGOSTO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH SEPTIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    SEPTIEMBRE 2025,MONTO DE EXISTENCIAS EN SEPTIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH OCTUBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    OCTUBRE 2025,MONTO DE EXISTENCIAS EN OCTUBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH NOVIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    NOVIEMBRE 2025,MONTO DE EXISTENCIAS EN NOVIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH DICIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES DICIEMBRE 2025,MONTO DE EXISTENCIAS EN DICIEMBRE 2025 B/.
101002601,"ESCOPOLAMINA BUTILBROMURO (HIOSCINA), 10MG, TABLETA, V.O.",0.05 ,"772,000 ","221,700 ","428,900 ","1,422,600 ",66862.20 ,"477,000",133200,334900,"945,100 ","44,419.70","334,500",92800,309900,"737,200 ","34,648.40 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101003101,"DIFENHIDRAMINA, 25MG, CµPSULA, V.O.",0.07 ,"349,000 ","62,000 ","101,000 ","512,000 ",35840.00 ,"249,000",45000,92000,"386,000 ","27,020.00","243,000",28000,81000,"352,000 ","24,640.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101003901,"FORMOTEROL FUMARATO (EFORMOTEROL), 9-12MCG/INHALACI‡N, POLVO SECO, INHALADOR CON APLICADOR CON 30-60 DOSIS, V÷A BUCAL.",5.37 ,"2,996 ","3,583 ","3,834 ","10,413 ",55917.81 ,"2,831",3363,3215,"9,409 ","50,526.33","2,491",3098,3015,"8,604 ","46,203.48 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101004401,"ZIDOVUDINA 100mg, c†psula, V.O.",0.66 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101004501,"CALCIO CARBONATO, 500 MG-1,000MG DE CALCIO ELEMENTAL, TABLETA, V.O.",0.03 ,"226,800 ","4,100 ","107,400 ","338,300 ",8457.50 ,"132,400",20000,93000,"245,400 ","6,135.00","361,200",156100,86700,"604,000 ","15,100.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101005101,"MODULADOR HEMORREOL‡GICO TIPO PENTOXIFILINA, 400MG, TABLETA DE LIBERACI‡N MODIFICADA, V.O.",0.12 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101007801,"ACETAZOLAMIDA, 250MG, TABLETA, V.O.",0.13 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101008501,"DIGOXINA 0.25mg, tableta, V.O.",0.27 ,"106,000 ","10,200 ","54,600 ","170,800 ",46116.00 ,"66,400",5050,47300,"118,750 ","32,062.50","32,100",0,37700,"69,800 ","18,846.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101008601,"FENITOINA SODICA 100mg, capsula o tableta, de liberacion modificada, V.O.",0.07 ,"490,900 ","1,300 ","20,800 ","513,000 ",36936.00 ,"35,000",24000,64300,"123,300 ","8,877.60","408,500",33300,138000,"579,800 ","41,745.60 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101008801,"CLORFENIRAMINA  MALEATO,  4MG, TABLETA, V.O.",0.05 ,"1,219,700 ","503,240 ","264,600 ","1,987,540 ",95401.92 ,"1,126,300",447880,250000,"1,824,180 ","87,560.64","1,293,700",416440,450000,"2,160,140 ","103,686.72 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101009501,"DIMENHIDRINATO, 50MG, TABLETA, V.O.",0.01 ,"29,000 ",0 ,"2,000 ","31,000 ",434.00 ,"424,000",70000,4000,"498,000 ","6,972.00","347,000",0,0,"347,000 ","4,858.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101010101,"CIPROFLOXACINA, 500MG, CµPSULA O TABLETA, V.O.",0.06 ,0 ,"134,300 ","295,800 ","430,100 ",24945.80 ,"25,396",161880,355802,"543,078 ","31,498.52","93,704",35100,303902,"432,706 ","25,096.95 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101010601,"ISOSORBIDE DINITRATO, 5MG, TABLETA, V÷A SUBLINGUAL",0.39 ,0 ,"3,600 ",0 ,"3,600 ",1404.00 ,0,1500,0,"1,500 ",585.00,0,1100,0,"1,100 ",429.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101010801,"ISOSORBIDE DINITRATO, 10MG, TABLETA, V.O.",0.03 ,"9,300 ",0 ,"63,900 ","73,200 ",2269.20 ,"149,160",195960,248580,"593,700 ","18,404.70","115,320",178320,241980,"535,620 ","16,604.22 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101011401,"ESTR‡GENOS CONJUGADOS NATURALES DE ORIGEN EQUINO, 0.625-1MG, TABLETA, V.O.",0.10 ,"15,074 ","45,976 ","2,492 ","63,542 ",6227.12 ,"2,530",27216,3864,"33,610 ","3,293.78","2,250",26964,3024,"32,238 ","3,159.32 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101012201,"FENOBARBITAL 32mg, tableta, V.O.",0.30 ,"51,165 ",0 ,"2,000 ","53,165 ",15949.50 ,"48,165",9000,2000,"59,165 ","17,749.50","38,165",22000,2000,"62,165 ","18,649.50 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101012301,"FENOBARBITAL 64mg, tableta, V.O.",0.54 ,"388,000 ","247,000 ","106,000 ","741,000 ",400140.00 ,"255,000",170000,91000,"516,000 ","278,640.00","165,000",75000,64000,"304,000 ","164,160.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101012901,"METRONIDAZOL, 500MG, TABLETA RANURADA, V.O.",0.08 ,0 ,"195,000 ","320,400 ","515,400 ",39685.80 ,"405,911",58500,245700,"710,111 ","54,678.55","308,411",39300,221100,"568,811 ","43,798.45 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101013101,"F‡LICO µCIDO, 5MG, TABLETA, V.O.",0.02 ,"2,016,640 ","114,400 ","241,340 ","2,372,380 ",54564.74 ,"1,573,140",94500,130580,"1,798,220 ","41,359.06","1,284,520",0,86580,"1,371,100 ","31,535.30 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101013701,"NITROFURANTOINA 100MG CµPSULA O TABLETA, V.O.",0.10 ,"292,000 ","163,000 ","66,000 ","521,000 ",52100.00 ,"229,000",139000,54000,"422,000 ","42,200.00","201,000",119000,51000,"371,000 ","37,100.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101015901,"AZATIOPRINA, 50MG, TABLETA, V.O.",0.59 ,"141,400 ","43,500 ","44,500 ","229,400 ",135346.00 ,"123,600",28100,42600,"194,300 ","114,637.00","107,100",15400,38000,"160,500 ","94,695.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101016301,"ATENOLOL, 100MG, TABLETA RANURADA, V.O.",0.05 ,"1,531,050 ","330,660 ","316,230 ","2,177,940 ",108897.00 ,"1,430,190",302340,307230,"2,039,760 ","101,988.00","1,412,190",263250,303330,"1,978,770 ","98,938.50 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101018301,"PIRIDOSTIGMINA BROMURO, 60MG, TABLETA, V.O.",0.36 ,"133,780 ","7,500 ","15,840 ","157,120 ",56563.20 ,"110,040",5860,14440,"130,340 ","46,922.40","98,240",4060,12440,"114,740 ","41,306.40 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101018401,"METILDOPA, 250MG, TABLETA, V.O.",0.28 ,"46,620 ","5,280 ","7,710 ","59,610 ",16690.80 ,"23,790",15000,1860,"40,650 ","11,382.00","22,140",10020,660,"32,820 ","9,189.60 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101018501,"MELFALANO 2mg, tableta, V.O.",0.78 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101022301,"METOTREXATE, 2.5MG, TABLETA, V.O.",0.15 ,"585,400 ","27,100 ","72,800 ","685,300 ",102795.00 ,"553,500",12600,67800,"633,900 ","95,085.00","546,500",2200,67500,"616,200 ","92,430.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101023201,"HIDROXICLOROQUINA SULFATO, 400MG, TABLETA, V.O.",0.23 ,"77,610 ",0 ,0 ,"77,610 ",17850.30 ,"4,860",12000,0,"16,860 ","3,877.80",0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101024201,"PREDNISONA O PREDNISOLONA, 5MG, TABLETA, V.O.",0.03 ,0 ,0 ,0 ,0 ,0.00 ,"830,000",0,0,"830,000 ","20,750.00","522,100",0,0,"522,100 ","13,052.50 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101024501,"TAMOXIFENO CITRATO, 20MG, TABLETA, V.O.",0.17 ,"33,120 ",0 ,"5,880 ","39,000 ",6630.00 ,"30,330",600,5580,"36,510 ","6,206.70","28,980",240,5580,"34,800 ","5,916.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101027201,"METILFENIDATO, 10MG, TABLETA, V.O.",0.11 ,"3,600 ",0 ,0 ,"3,600 ",396.00 ,"3,600",0,0,"3,600 ",396.00,"3,600",0,0,"3,600 ",396.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101027701,"CARBAMAZEPINA 200mg, tableta, V.O.",0.05 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101028501,"LEVOMEPROMAZINA, 25MG, TABLETA, V.O.",0.51 ,"48,000 ","12,000 ",0 ,"60,000 ",30600.00 ,"3,000",7000,8000,"18,000 ","9,180.00",0,0,7000,"7,000 ","3,570.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101030201,"TIAMAZOL (METIMAZOL)  5MG.TABLETA, V.O.",0.25 ,"57,300 ","121,240 ","76,800 ","255,340 ",63835.00 ,"1,500",453660,170500,"625,660 ","156,415.00","400,560",422920,166400,"989,880 ","247,470.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101030701,"HIDROCLOROTIAZIDA 25MG CON TRIAMTERENO 50MG, TABLETA RANURADA, V.O.",0.13 ,"3,725,000 ","233,000 ","507,000 ","4,465,000 ",580450.00 ,"4,251,000",1046000,472000,"5,769,000 ","749,970.00","4,083,000",994000,469000,"5,546,000 ","720,980.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101031601,IMIPRAMINA 10 MG CAPSULA O TABLETA V.O.,0.09 ,"74,700 ","39,500 ","49,700 ","163,900 ",14095.40 ,"128,300",36500,48500,"213,300 ","18,343.80","127,800",36500,48500,"212,800 ","18,300.80 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101032001,"FLUOXETINA 20mg, c†psula o tableta, V.O.",0.08 ,"373,548 ","15,428 ","56,784 ","445,760 ",35660.80 ,"46,172",33600,50680,"130,452 ","10,436.16",0,0,47880,"47,880 ","3,830.40 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101032901,"AMITRIPTILINA, 25MG, CµPSULA O TABLETA, V.O.",0.03 ,"226,300 ",0 ,"91,100 ","317,400 ",9522.00 ,"76,800",48000,55300,"180,100 ","5,403.00","19,200",250200,150200,"419,600 ","12,588.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034201,"TIAMINA (VITAMINA B1) 100MG, TABLETA, V.O.",0.01 ,"44,000 ","24,000 ","3,000 ","71,000 ",958.50 ,"25,000",13000,4000,"42,000 ",567.00,"20,000",3000,2000,"25,000 ",337.50 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034401,"PIRIDOXINA (VITAMINA B6), 50MG, TABLETA, V.O.",0.04 ,"98,160 ","1,200 ",0 ,"99,360 ",3974.40 ,"95,880",1200,0,"97,080 ","3,883.20","94,080",1200,0,"95,280 ","3,811.20 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034801,"ASC‡RBICO µCIDO (VITAMINA C), 500MG, TABLETA RECUBIERTO (PEL÷CULA), MASTICABLE O EFERVESCENTE, V.O.",0.05 ,"1,226,600 ","287,000 ","8,300 ","1,521,900 ",68485.50 ,"892,100",212500,2000,"1,106,600 ","49,797.00","818,400",176700,0,"995,100 ","44,779.50 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101034901,"LITIO CARBONATO 300mg, c†psula o tableta, V.O.",0.07 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101035701,"BIPERIDENO CLORHIDRATO, 2MG, TABLETA, V.O.",0.04 ,"266,300 ","83,300 ","65,400 ","415,000 ",14940.00 ,"166,600",73400,63300,"303,300 ","10,918.80","104,100",70000,58300,"232,400 ","8,366.40 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101036301,"HIERRO (SAL FERROSA), 50-100MG DE HIERRO ELEMENTAL, TABLETA,  V.O.",0.25 ,"703,900 ","361,600 ","630,500 ","1,696,000 ",424000.00 ,"587,500",304000,561500,"1,453,000 ","363,250.00","463,500",283900,518500,"1,265,900 ","316,475.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101037701,"ESPIRONOLACTONA, 25MG, TABLETA, V.O.",0.11 ,"537,120 ","273,810 ","166,590 ","977,520 ",107527.20 ,"256,770",216960,82920,"556,650 ","61,231.50","710,430",244380,138570,"1,093,380 ","120,271.80 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101037801,"ANOVULATORIO ORAL, ESTR‡GENOS: ETINILESTRADIOL,  0.020-0.030MG; PROGESTAGENOS: LEVONORGESTREL, 0.15MG. O GESTODENO, 0.075MG, TABLETA, V.O.",0.06 ,"98,616 ",0 ,"1,218 ","99,834 ",5990.04 ,"57,057",21000,9408,"87,465 ","5,247.90","42,000",14385,8064,"64,449 ","3,866.94 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101037901,"TRAMADOL CLORHIDRATO, 50MG, CµPSULA, V.O.",0.03 ,"936,860 ","197,580 ","55,260 ","1,189,700 ",32121.90 ,"456,140",152880,91740,"700,760 ","18,920.52","308,840",82980,78540,"470,360 ","12,699.72 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101038201,"ACETIL SALIC÷LICO µCIDO, 75-100MG, TABLETA, V.O.",0.02 ,"9,344,800 ","1,237,400 ","817,200 ","11,399,400 ",182390.40 ,"9,027,600",1151700,732400,"10,911,700 ","174,587.20","8,857,800",1066200,614400,"10,538,400 ","168,614.40 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101038801,"TRIMETROPIN 160MG CON SULFAMETOXAZOL 800MG, TABLETA RANURADA, V.O.",0.07 ,"191,750 ","82,550 ","2,200 ","276,500 ",17972.50 ,"60,450",71350,34800,"166,600 ","10,829.00","47,900",69050,21200,"138,150 ","8,979.75 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101042601,"CICLOSPORINA 25mg, capsula con microemulsion, V.O.",0.97 ,"157,500 ","80,400 ","57,100 ","295,000 ",286150.00 ,"141,500",76850,56400,"274,750 ","266,507.50","123,000",67450,56400,"246,850 ","239,444.50 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
